mantissas	('mantissas',)
random	('random',)
variables	('variables',)
phenomenological~variables	('phenomenological~variables',)
multiplication	('multiplication',)
increases	('increases',)
density	('density',)
density~first	('first~density',)
density~first~law	('law~first~density',)
density~first~law~phenomenological	('phenomenological~law~first~density',)
digit~function	('digit~function',)
digit~first~function	('first~digit~function',)
digit~first~function~law	('law~first~digit~function',)
above~law	('law~above',)
above~digit~law	('digit~law~above',)
above~digit~first~law	('first~digit~law~above',)
first~logarithmic	('first~logarithmic',)
first~law~logarithmic	('law~first~logarithmic',)
digit~first~law~logarithmic	('digit~law~first~logarithmic', 'law~first~digit~logarithmic')
hill~phenomenon	('phenomenon~hill',)
digit~hill~phenomenon	('digit~phenomenon~hill',)
digit~first~hill~phenomenon	('first~digit~phenomenon~hill',)
rigorously	('rigorously',)
leading~rigorously	('leading~rigorously',)
leading~phenomenon~rigorously	('phenomenon~leading~rigorously',)
digit~leading~phenomenon~rigorously	('digit~phenomenon~leading~rigorously',)
demonstrated	('demonstrated',)
demonstrated~digit	('digit~demonstrated',)
demonstrated~digit~leading	('leading~digit~demonstrated',)
demonstrated~digit~leading~phenomenon	('phenomenon~leading~digit~demonstrated',)
phenomenon~random	('phenomenon~random',)
digit~phenomenon~random	('digit~phenomenon~random',)
digit~leading~phenomenon~random	('leading~digit~phenomenon~random',)
samples	('samples',)
benford~samples	('benford~samples',)
benford~phenomenon~samples	('phenomenon~benford~samples',)
benford~digit~phenomenon~samples	('digit~phenomenon~benford~samples',)
law~variety	('law~variety',)
benford~law~variety	('benford~law~variety',)
benford~law~phenomenon~variety	('phenomenon~benford~law~variety',)
different~listings	('listings~different',)
different~law~listings	('law~listings~different',)
benford~different~law~listings	('benford~law~listings~different',)
digit~law	('digit~law',)
digit~etc~law	('etc~digit~law',)
digit~etc~law~statistics	('statistics~etc~digit~law',)
matthews	('matthews',)
striking	('striking',)
phenomenological~striking	('phenomenological~striking',)
example~law	('law~example',)
example~law~phenomenological	('phenomenological~law~example',)
benford~first	('first~benford',)
benford~first~law	('law~first~benford',)
benford~first~law~phenomenological	('phenomenological~law~first~benford',)
million	('million',)
law~million	('law~million',)
digit~law~million	('digit~law~million',)
digit~first~law~million	('first~digit~law~million',)
first~real	('first~real',)
first~law~real	('law~first~real',)
digit~first~law~real	('digit~law~first~real',)
constants	('constants',)
constants~digit	('digit~constants',)
constants~digit~first	('first~digit~constants',)
constants~digit~first~law	('law~first~digit~constants',)
plouffe	('plouffe',)
phenomenon~plouffe	('phenomenon~plouffe',)
digit~phenomenon~plouffe	('digit~phenomenon~plouffe',)
digit~first~phenomenon~plouffe	('first~digit~phenomenon~plouffe',)
symbolic	('symbolic',)
leading~symbolic	('leading~symbolic',)
leading~phenomenon~symbolic	('phenomenon~leading~symbolic',)
digit~leading~phenomenon~symbolic	('digit~phenomenon~leading~symbolic',)
database	('database',)
begin~phenomenon	('phenomenon~begin',)
begin~digit~phenomenon	('digit~phenomenon~begin',)
begin~digit~leading~phenomenon	('leading~digit~phenomenon~begin',)
several	('several',)
phenomenological~several	('phenomenological~several',)
disparate	('disparate',)
disparate~law	('law~disparate',)
disparate~law~phenomenological	('phenomenological~law~disparate',)
table	('table',)
digit~table	('digit~table',)
digit~first~table	('first~digit~table',)
digit~first~law~table	('law~first~digit~table',)
below~law	('law~below',)
below~digit~law	('digit~law~below',)
below~digit~first~law	('first~digit~law~below',)
distribution~first	('first~distribution', 'distribution~first')
distribution~first~law	('law~first~distribution',)
digit~distribution~first~law	('digit~law~first~distribution',)
digits	('digits',)
digits~phenomenon	('phenomenon~digits',)
digits~first~phenomenon	('first~phenomenon~digits',)
compiled	('compiled',)
compiled~leading	('leading~compiled',)
compiled~leading~phenomenon	('phenomenon~leading~compiled',)
compiled~digit~leading~phenomenon	('digit~phenomenon~leading~compiled',)
benford~digit	('digit~benford',)
benford~digit~leading	('leading~digit~benford',)
original	('original',)
original~phenomenon	('phenomenon~original',)
digit~original~phenomenon	('digit~phenomenon~original',)
digit~leading~original~phenomenon	('leading~digit~phenomenon~original',)
paper	('paper',)
col	('col',)
title	('title',)
rivers	('rivers',)
area	('area',)
b	('b',)
population	('population',)
c	('c',)
d	('d',)
newspapers	('newspapers',)
e	('e',)
specific	('specific',)
heat	('heat',)
f	('f',)
pressure	('pressure',)
g	('g',)
hp	('hp',)
lost	('lost',)
h	('h',)
mol	('mol',)
wgt	('wgt',)
i	('i',)
drainage	('drainage',)
j	('j',)
atomic	('atomic',)
k	('k',)
l	('l',)
design	('design',)
m	('m',)
reader	('reader',)
digest	('digest',)
n	('n',)
cost	('cost',)
o	('o',)
x-ray	('x-ray',)
volts	('volts',)
p	('p',)
am	('am',)
league	('league',)
q	('q',)
blackbody	('blackbody',)
r	('r',)
s	('s',)
t	('t',)
death	('death',)
rate	('rate',)
average	('average',)
probable	('probable',)
error	('error',)
following	('following',)
phenomenological~table	('phenomenological~table',)
mantissa	('mantissa',)
law~mantissa	('law~mantissa',)
digit~law~mantissa	('digit~law~mantissa',)
digit~first~law~mantissa	('first~digit~law~mantissa',)
first~following	('first~following',)
first~following~law	('law~first~following',)
digit~first~following~law	('digit~law~first~following',)
benford~digit~first	('first~digit~benford',)
law~phenomenon	('phenomenon~law',)
digit~law~phenomenon	('digit~phenomenon~law',)
